,Name,Rating,Price Rs,RAM Gb,ROM Gb,Expandable GB,Size Cm,Size Inch,R1 Cam MP,R2 Cam MP,R3 Cam MP,R4 Cam MP,Battery Mah,Processor,Image,Brand
643,"Huawei P9 (Titanium Grey, 32 GB)",4.5,"39,999",3,32,128.0,13.21,5.2,12.0,12.0,,,3000,HUAWEI Kirin 955 ARM Cortex-A72 64-bit + ARM Cortex-A53 64-bit Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,Huawei
644,"Huawei P9 (Mystic Silver, 32 GB)",4.5,"39,999",3,32,128.0,13.21,5.2,12.0,12.0,,,3000,HUAWEI Kirin 955 ARM Cortex-A72 64-bit + ARM Cortex-A53 64-bit Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,Huawei
645,"BlackZone UNI 4G (SKYLINE BLUE, 16 GB)",3.4,"5,500",2,16,,15.21,5.99,8.0,,,,3000,MediaTek Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,
646,"OPPO R17 (Neon Purple, 128 GB)",,"36,990",8,128,,16.26,6.4,16.0,,,,3500,Qualcomm Snapdragon 670 Octa Core�Processor�,https://rukminim1.flixcart.com/image/312/312/jw6pifk0/mobile-refurbished/z/s/x/r17-128-c-r17-oppo-8-original-imafgk87r3vjvmbd.jpeg?q=70,OPPO
647,"BlackZone UNI 4G (AURORA BLUE, 16 GB)",3.4,"5,500",2,16,,15.21,5.99,8.0,,,,3000,MediaTek Processor,https://rukminim1.flixcart.com/image/312/312/kd1zngw0/mobile/g/y/a/blackzone-uni-4g-uni-4g-original-imafuf3ppu8qvbnc.jpeg?q=70,
648,"Vivo V5s Perfect Selfie (Matte Black, 64 GB)",4.3,"18,690",4,64,256.0,13.97,5.5,13.0,,,,3000,MediaTek MT6750 64-bit Octa Core 1.5GHz Processor,https://rukminim1.flixcart.com/image/312/312/j2z1fgw0/mobile/5/7/h/vivo-v5s-1713-original-imaeu5e8m9xrhtjf.jpeg?q=70,Vivo
649,"Samsung Galaxy A30 (Black, 64 GB)",4.4,"17,500",4,64,512.0,16.26,6.4,16.0,5.0,,,4000,Exynos 7904 Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,Samsung
650,"OPPO A5 (Diamond Red, 32 GB)",4.4,"13,500",4,32,256.0,15.75,6.2,13.0,2.0,,,4230,Qualcomm Snapdragon 450 Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,OPPO
651,"Redmi Note 6 Pro (Blue, 64 GB)",4.5,"12,999",4,64,256.0,15.9,6.26,12.0,5.0,,,4000,Qualcomm Snapdragon 636 Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,Redmi
652,"OPPO A5 (Diamond Blue, 64 GB)",4.4,"15,974",4,64,256.0,15.75,6.2,13.0,2.0,,,4230,Qualcomm Snapdragon 450 Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,OPPO
